cname,age,gender,address,bdate,adhar_no,phone
Sarasvathi Prasad,35,F,"625 Rajajinagara, Bangalore",1984-04-12,3457786543678954,9876567895
Vinod Chaubey,35,M,"638 Basavanagudi,Bangalore",1984-05-12,5676543218908765,9876545678
Pallavi Ramesh,32,F,"628 Peenya, Bangalore",1987-02-24,6787654356789876,9876787654
Rakesh Maria,40,M,"731 Banashankari,Bangalore",1975-05-30,8765677654389760,9098435609
Ranjith Mooshahary,25,M,"291 K.R.Purum, Bangalore",1994-10-12,7865432178980875,9087654790
Bhargavi Raam,31,F,"429 Malleshwarum, Bangalore",1988-06-01,8988976654332145,9987896512
Sangram Singh,40,M,"3321 Katriguppe,Bangalore",1975-04-30,5678435678456785,9086453646
Mala Raj,35,F,"625 Malleshwarum, Bangalore",1984-09-21,7897654309870200,9087689064
Ramesh Narayan,35,M,"975 Girinagara, Bangalore",1984-07-23,3478904688930989,8987309827
Nagaraj Madhav,35,M,"453 Peenya, Bangalore",1984-07-14,9087683627345672,8988762534
Nayana Madhav,38,F,"546 Koramangal, Bangalore",1981-01-05,5678245638894004,9890976543
Mohini Dhanraj,30,F,"535 Basavangudi, Bangalore",1989-04-24,9090876789098764,8907564367
Sanjeev Tripathi,32,M,"5631 Yashavanthapura,Bangalore",1987-11-12,9201647890325467,8901236748
Rajeev Shankar,32,M,"561 Yashavanthapura,Bangalore",1987-04-12,1230987689543267,8907865436
Sharath Kumar,28,M,"167 Banashankari, Bangalore",1984-04-12,9988115526376548,8829917389
Shankar Bidari,28,M,"980 Chamarajapete, Bangalore",1991-03-31,5647898725100927,8351730017
Ramya Bharghav,40,F,"564 Banashankari, Bangalore",1979-12-12,898722345567891 ,9900876112
Divya Spandana,28,F,"346 Mejestic, Bangalore",1991-08-23,5673877638894004,9988675512
Divya Nagaraj,37,F,"761 Chikkpete, Bangalore",1982-09-22,9087897643212314,9087897123
Sudha Bhaskar,33,F,"645 Ramanagara, Bangalore",1986-07-09,8988765543234567,8897665432
Prakash Rao,34,M,"546 Basavanagudi, Bangalore",1985-03-27,8768909987654112,8899076112
Suresh Guptha,42,M,"653 Indiranagar, Bangalore",1977-12-23,8790987624516725,7893253646
Mahesh Kumar,40,M,"576 Ittumadu, Bangalore",1979-06-27,9807765881425321,9987611234
Varun Mishra,29,M,"436 Kathriguppe, Bangalore",1990-07-02,8799076554326781,9877890654
Ashok Kumar,40,M,"450 Vijayanagar, Bangalore",1975-05-22,9283386487667837,987573653 
